(-0.134,0.392,10.017,0,0,0,0,0,0,100,48.4528,17.75647,134.6,0)

(-0.095,0.392,10.027,0,0,0,0,0,0,100,48.4528,17.75647,134.6,0)

(-0.009,0.44,10.103,0,0,0,0,0,0,100,48.4528,17.75647,134.6,0)

(-0.095,0.43,10.036,0,0,0,0,0,0,100,48.4528,17.75647,134.6,0)

(-0.038,0.44,10.065,0,0,0,0,0,0,100,48.4528,17.75647,134.6,0)

(-0.047,0.44,10.094,0,0,0,0,0,0,100,48.4528,17.75647,134.6,0)

(-0.047,0.383,10.113,0,0,0,0,0,0,100,48.4528,17.75647,134.6,0)

(-0.076,0.402,10.017,0,0,0,0,0,0,100,48.4527,17.75634,152.8,0)

(-0.095,0.421,10.065,0,0,0,0,0,0,100,48.4527,17.75634,152.8,0)

(-0.057,0.383,10.036,0,0,0,0,0,0,100,48.4527,17.75634,152.8,0)

(-0.038,0.43,9.998,0,0,0,0,0,0,100,48.4527,17.75634,152.8,0)

(-0.038,0.421,10.027,0,0,0,0,0,0,100,48.4527,17.75634,152.8,0)

(0.009,0.421,10.075,0,0,0,0,0,0,100,48.4527,17.75634,152.8,0)

(-0.047,0.392,10.027,0,0,0,0,0,0,100,48.4527,17.75634,152.8,0)

(-0.057,0.411,9.998,0,0,0,0,0,0,100,48.4527,17.75634,152.8,0)

(-0.057,0.411,10.036,0,0,0,0,0,0,100,48.4527,17.75634,152.8,0)

(-0.019,0.373,10.027,0,0,0,0,0,0,100,48.4527,17.75634,152.8,0)

(-0.105,0.411,10.065,0,0,0,0,0,0,100,48.4527,17.75634,152.8,0)

(-0.067,0.43,10.036,0,0,0,0,0,0,100,48.4527,17.75634,152.8,0)

(-0.038,0.44,10.036,0,0,0,0,0,0,100,48.4527,17.75634,152.8,0)

(-0.047,0.373,9.998,0,0,0,0,0,0,100,48.4527,17.75634,152.8,0)

(-0.028,0.373,10.056,0,0,0,0,0,0,100,48.4527,17.75634,152.8,0)

(-0.028,0.459,10.103,0,0,0,0,0,0,100,48.4527,17.75634,152.8,0)

(-0.047,0.392,10.056,0,0,0,0,0,0,100,48.4527,17.75634,152.8,0)

(-0.009,0.411,10.075,0,0,0,0,0,0,100,48.4527,17.75634,152.8,0)

(-2.288,1.197,9.96,0,0,0,0,0,0,100,48.45279,17.75635,151.5,0)

(-1.407,0.488,9.816,0,0,0,0,0,0,100,48.45279,17.75635,151.5,0)

(-0.114,0.411,10.046,0,0,0,0,0,0,100,48.45279,17.75635,151.5,0)

(-0.162,0.344,10.103,0,0,0,0,0,0,100,48.45279,17.75635,151.5,0)

(7.498,4.558,-5.439,0,0,0,0,0,0,100,48.45279,17.75635,151.5,0)

(8.552,3.112,-9.251,0,0,0,0,0,0,100,48.45271,17.75637,135.3,0)

(-1.618,-0.057,10.237,0,0,0,0,0,0,100,48.45271,17.75637,135.3,0)

(-0.507,0.105,10.075,0,0,0,0,0,0,100,48.45271,17.75637,135.3,0)

(-0.124,0.306,10.113,0,0,0,0,0,0,100,48.45271,17.75637,135.3,0)

(-0.067,0.344,10.008,0,0,0,0,0,0,100,48.45271,17.75637,135.3,0)

(0.009,0.45,9.912,0,0,0,0,0,0,100,48.45271,17.75637,135.3,0)

(-0.134,0.335,10.094,0,0,0,0,0,0,100,48.45271,17.75637,135.3,0)

(-0.162,0.354,10.075,0,0,0,0,0,0,100,48.45271,17.75637,135.3,0)

(-0.067,0.363,9.988,0,0,0,0,0,0,100,48.45271,17.75637,135.3,0)

(-0.162,0.277,10.008,0,0,0,0,0,0,100,48.45271,17.75637,135.3,0)

(-0.134,0.316,10.084,0,0,0,0,0,0,100,48.45271,17.75637,135.3,0)

(-0.134,0.392,10.046,0,0,0,0,0,0,100,48.45271,17.75637,135.3,0)

(-0.134,0.354,10.008,0,0,0,0,0,0,100,48.45271,17.75637,135.3,0)

(-0.105,0.296,10.161,0,0,0,0,0,0,100,48.45271,17.75637,135.3,0)

(-0.105,0.363,10.075,0,0,0,0,0,0,100,48.45271,17.75637,135.3,0)

(-0.124,0.306,9.988,0,0,0,0,0,0,100,48.45271,17.75637,135.3,0)

(-0.105,0.421,10.075,0,0,0,0,0,0,100,48.45281,17.75659,131.6,0)

(-0.067,0.392,10.056,0,0,0,0,0,0,100,48.45281,17.75659,131.6,0)

(-0.076,0.383,10.046,0,0,0,0,0,0,100,48.45281,17.75659,131.6,0)

(-0.134,0.325,10.075,0,0,0,0,0,0,100,48.45281,17.75659,131.6,0)

(-0.076,0.373,10.199,0,0,0,0,0,0,100,48.45281,17.75659,131.6,0)

(-0.047,0.392,10.008,0,0,0,0,0,0,100,48.45281,17.75659,131.6,0)

(-0.067,0.335,10.056,0,0,0,0,0,0,100,48.45281,17.75659,131.6,0)

(-0.076,0.363,10.075,0,0,0,0,0,0,100,48.45281,17.75659,131.6,0)

(-0.124,0.316,10.056,0,0,0,0,0,0,100,48.45281,17.75659,131.6,0)

(-0.086,0.392,10.036,0,0,0,0,0,0,100,48.45281,17.75659,131.6,0)

(-0.105,0.392,10.065,0,0,0,0,0,0,100,48.45281,17.75659,131.6,0)

(-0.067,0.296,10.084,0,0,0,0,0,0,100,48.45281,17.75659,131.6,0)

(-0.057,0.373,10.075,0,0,0,0,0,0,100,48.45281,17.75659,131.6,0)

